NBDL-HK3QHXRYQQ6J8N.v1.mt	Symphorus nematophorus 
NBDL-HK3QFJ1JK4N6A5.v1.mt	Gnathanodon speciosus 
NBDL-HR5S2AVYJ4R21K.v1.mt	Bodianus flavipinnis 
NBDL-HK3SXDWNN34WK3.v1.mt	Plectropomus laevis 
NBDL-HR5SFP6QKKVAP4.v1.mt	Trimmatom eviotops 
NBDL-HR5S2AYJP4HSS9.v1.mt	Thalassoma lunare 
NBDL-HR5S2B5ZN2YHZ4.v1.mt	Gobiodon citrinus 
NBDL-HK4A8AF2NAH09G.v1.mt	Priolepis cincta 
NBDL-HR5SFP45PM5QS9.v1.mt	Cephalopholis microprion 
NBDL-HR5S2B1JQ368DA.v1.mt	Notolabrus gymnogenis 
NBDL-HR5SFP4DPM4AC9.v1.mt	Ctenogobiops pomastictus 
NBDL-HR5SFP0GGM8K7F.v1.mt	Pyronotanthias lori 
NBDL-HK3QFJ3ZP4A26W.v1.mt	Etelis boweni 
NBDL-HK3QD0SXJSDRFT.v1.mt	Caranx tille 
NBDL-HR5SFP29QMEB5Y.v1.mt	Cabillus tongarevae 
NBDL-HR5S2B41H2KE3W.v1.mt	Thalassoma amblycephalum 
NBDL-HR5S2B6ZM2WFS1.v1.mt	Bodianus loxozonus 
NBDL-HR5SFP3WHM1ABJ.v1.mt	Signigobius biocellatus 
NBDL-HK3SXDWMQ34T6Q.v1.mt	Epinephelus lanceolatus 
NBDL-HK3QD0TMQSJNYK.v1.mt	Atropus aurochs 
NBDL-HR5S2AWWQ4M8BC.v1.mt	Trachypoma macracanthus 
NBDL-HR5SFP21QMEZRY.v1.mt	Paragobiodon modestus 
NBDL-HK3QHXTHPPTGG4.v1.mt	Nemipterus hexodon 
NBDL-HK4AMQYNPCM4BK.v1.mt	Leptojulis cyanopleura 
NBDL-HR5S2AZHG4K5RX.v1.mt	Trimma annosum 
NBDL-HK3QFJ31J4BB44.v1.mt	Trachurus murphyi 
NBDL-HK3SPRSAMG4G90.v1.mt	Cephalopholis igarashiensis 
NBDL-HK3QHXTQJPXDNW.v1.mt	Nemipterus peronii 
NBDL-HR5SFP61QKR0HW.v1.mt	Cephalopholis miniata 
NBDL-HK3QQM04N1KNYX.v1.mt	Nemipterus virgatus 
NBDL-HR5SFNZKKTH3GR.v1.mt	Plectropomus leopardus 
NBDL-HK3QQM07K1KPB9.v1.mt	Parascolopsis tanyactis 
NBDL-HR5SFP0TMMBAPQ.v1.mt	Gnatholepis cauerensis 
NBDL-HK3SPRSTMG4970.v1.mt	Chelidoperca stella 
NBDL-HR5S2AZDG4J5BD.v1.mt	Pseudolabrus guentheri 
NBDL-HK3QFJ2HJ48424.v1.mt	Selar crumenophthalmus 
NBDL-HR5S2B1BN37F66.v1.mt	Caesio caerulaurea 
NBDL-HR5S2B21G32A5V.v1.mt	Gobiodon okinawae 
NBDL-HR5SFP60HKRY70.v1.mt	Epinephelus corallicola 
NBDL-HR5SFP6MHKVB0G.v1.mt	Trimmatom macropodus 
NBDL-HR5S2B10K37YC2.v1.mt	Suezichthys devisi 
NBDL-HR5S2B2MJ32PMZ.v1.mt	Gobiodon rivulatus 
NBDL-HK3QFJ42Q4RNNF.v1.mt	Etelis carbunculus 
NBDL-HR5SFP4ZJM7EV1.v1.mt	Pyronotanthias parvirostris 
NBDL-HK4AMQZ9PC96N3.v1.mt	Choerodon cauteroma 
NBDL-HR5SFNXMGTR02H.v1.mt	Cymolutes praetextatus 
NBDL-HK3QHXV9PPZRN4.v1.mt	Nemipterus furcosus 
NBDL-HK3SPRSGGG4TZR.v1.mt	Cephalopholis boenak 
NBDL-HK3SPRSBJG4JVW.v1.mt	Cephalopholis cyanostigma 
NBDL-HK3QHXTGGPXE68.v1.mt	Nemipterus bathybius 
NBDL-HR5SFNYBKTYGXR.v1.mt	Stethojulis strigiventer 
NBDL-HK3SXDTZJ2MHGC.v1.mt	Epinephelus maculatus 
NBDL-HR5S2B43N2KB4M.v1.mt	Pseudocheilinus hexataenia 
NBDL-HK3QHXTCGPW25R.v1.mt	Nemipterus balinensoides 
NBDL-HHG28F56KBB906.v1.mt	Suezichthys soelae 
NBDL-HK3QHXTPMPXBB0.v1.mt	Nemipterus nematopus 
NBDL-HK3SXDVVJ2NXJW.v1.mt	Lepidoperca occidentalis 
NBDL-HK3SXDWAK34HGZ.v1.mt	Plectropomus maculatus 
NBDL-HK3QHXTRGPX2N8.v1.mt	Nemipterus zysron 
NBDL-HR5SFP13JM9HA3.v1.mt	Eviota occasa 
NBDL-HK3QFJ1VN4JH59.v1.mt	Parastromateus niger 
NBDL-HK3SPRSSPG48TM.v1.mt	Caesioperca lepidoptera 
NBDL-HR5SFP5TGM63BD.v1.mt	Gobiodon prolixus 
NBDL-HR5S2AXMQ4NEJC.v1.mt	Epinephelus daemelii 
NBDL-HR5SFP5RMM667N.v1.mt	Trimmatom nanus 
NBDL-HK3QHXTAMPWCVG.v1.mt	Nemipterus aurifilum 
NBDL-HK3SXDVEM2JVHG.v1.mt	Epinephelus sexfasciatus 
NBDL-HK3QQM22P1PYH0.v1.mt	Lethrinus ravus 
NBDL-HR5S2B0VN2S4M6.v1.mt	Amphiprion melanopus 
NBDL-HR5SFNX8GTS0J1.v1.mt	Ecsenius mandibularis 
NBDL-HK3T892AMMB72A.v1.mt	Assessor macneilli 
NBDL-HK3T5NSMJR79TE.v1.mt	Thunnus maccoyii 
NBDL-HK4A8AD9PAYA51.v1.mt	Chelmon marginalis 
NBDL-HK3SMQDKKSAEYT.v1.mt	Branchiostegus serratus 
NBDL-HK3SMQEWMSM9WV.v1.mt	Priacanthus fitchi 
NBDL-HR5SFP1SPM9VRV.v1.mt	Helcogramma vulcana 
NBDL-HR5S2B3CJ35GDZ.v1.mt	Chromis atripectoralis 
NBDL-HK3QV5NXK4MS88.v1.mt	Aplodactylus lophodon 
NBDL-HK3SMQDPHSBN26.v1.mt	Branchiostegus wardi 
NBDL-HR5SFP71QM6J5W.v1.mt	Ecsenius tigris 
NBDL-HK3SMQF3JSJPB7.v1.mt	Priacanthus hamrur 
NBDL-HK3QQM1PH1JZZ5.v1.mt	Lethrinus lentjan 
NBDL-HK4A8AEWHAKRTR.v1.mt	Heniochus acuminatus 
NBDL-HR5SFP2DQME5JE.v1.mt	Parablennius intermedius 
NBDL-HR5S2AWBN4Q4JR.v1.mt	Gerres longirostris 
NBDL-HK3SPRQWKH33VB.v1.mt	Plectorhinchus gibbosus 
NBDL-HK3QQM1CN1NPSX.v1.mt	Lethrinus ornatus 
NBDL-HR5S2B37M3517K.v1.mt	Fowleria vaiulae 
NBDL-HK3SMQEKJSNXD7.v1.mt	Sillago robusta 
NBDL-HK3SMQEMMSNN9V.v1.mt	Sillago schomburgkii 
NBDL-HK3T5NSXMR7VWJ.v1.mt	Otolithes ruber 
NBDL-HR5S2B0SH2S1SY.v1.mt	Istiblennius meleagris 
NBDL-HK3T5NSPPR7CPP.v1.mt	Thunnus alalunga 
NBDL-HR5SFNXRGTR7M1.v1.mt	Zebrasoma scopas 
NBDL-HR5S2B24J32FJZ.v1.mt	Parupeneus pleurostigma 
NBDL-HR5S2AXGQ4N8RW.v1.mt	Chaetodon unimaculatus 
