Bulbonaricus	Syngnathidae	Syngnathiformes	Teleostei
Bryx	Syngnathidae	Syngnathiformes	Teleostei
Paraplotosus	Plotosidae	Siluriformes	Teleostei
Histrionicus	Anatidae	Anseriformes	Aves
Argyrocottus	Cottidae	Perciformes/Cottoidei	Teleostei
Sciades	Ariidae	Siluriformes	Teleostei
Grammistes	Grammistidae	Perciformes/Serranoidei	Teleostei
Cilus	Sciaenidae	Eupercaria/misc	Teleostei
Basilichthys	Atherinopsidae	Atheriniformes	Teleostei
Cardiopharynx	Cichlidae	Cichliformes	Teleostei
Tomiyamichthys	Gobiidae	Gobiiformes	Teleostei
Amniataba	Terapontidae	Centrarchiformes	Teleostei
Aulopareia	Gobiidae	Gobiiformes	Teleostei
Protanguilla	Protanguillidae	Anguilliformes	Teleostei
Hadropogonichthys	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Paratriacanthodes	Triacanthodidae	Tetraodontiformes	Teleostei
Argyripnus	Sternoptychidae	Stomiiformes	Teleostei
Cheilinus	Labridae	Eupercaria/misc	Teleostei
Phycis	Phycidae	Gadiformes	Teleostei
Plesiobatis	Plesiobatidae	Myliobatiformes	Elasmobranchii
Benthochromis	Cichlidae	Cichliformes	Teleostei
Lepidopsetta	Pleuronectidae	Pleuronectiformes	Teleostei
Dussumieria	Dussumieriidae	Clupeiformes	Teleostei
Hymenocephalus	Macrouridae	Gadiformes	Teleostei
Cerorhinca	Alcidae	Charadriiformes	Aves
Amblyraja	Rajidae	Rajiformes	Elasmobranchii
Gigantura	Giganturidae	Aulopiformes	Teleostei
Sicydium	Gobiidae	Gobiiformes	Teleostei
Pseudancistrus	Loricariidae	Siluriformes	Teleostei
Katsuwonus	Scombridae	Scombriformes	Teleostei
Brachirus	Soleidae	Pleuronectiformes	Teleostei
Cyema	Cyematidae	Saccopharyngiformes	Teleostei
Himantopus	Recurvirostridae	Charadriiformes	Aves
Cairina	Anatidae	Anseriformes	Aves
Asterorhombus	Bothidae	Pleuronectiformes	Teleostei
Mauligobius	Gobiidae	Gobiiformes	Teleostei
Ancylopsetta	Paralichthyidae	Pleuronectiformes	Teleostei
Archocentrus	Cichlidae	Cichliformes	Teleostei
